649@1@Lecho de maíz@ROEDORES|Lechos sanitarios@4.95@0@@[embed]https://www.youtube.com/watch?v=6ter35TYOCE[/embed]<br /><p style=text-align: justify;>El lecho sanitario de Ribero está elaborado a base de la planta del maíz NO OGM, Paja y raspaduras de Limón granulado. Este lecho es óptimo para la mayoría de pequeños animales domésticos: perros, gatos, roedores, reptiles y aves. Es el sustrato más natural que se produce con el desecho de productos procedentes de campo. Es un producto 100% natural obtenido de las cosechas de nuestros propios campos. PROPIEDADES: - Máxima absorción: debido a la alta densidad del granulado y al origen de las materia primas. Empieza a absorber desde la parte más baja de la jaula. - Neutraliza el olor de la orina y las defecaciones gracias a las raspaduras de limón que contiene el producto. - Es 100% biodegradable: los lechos utilizados pueden emplearse como estiércol o desecharse en el contenedor de materia orgánica. - El control de Ribero en su fabricación garantiza la calidad del producto. - El lecho Ribero es garantía para la salud de su mascota, ya que no levanta polvo en la cubeta y su ingestión no supone ningún riesgo al estar elaborado con productos 100% naturales. MODO DE EMPLEO: Antes de su utilización limpiar la bandeja de la jaula de su mascota. Verter entre 1 y 4 centímetros de lecho uniformemente por las zonas en que su mascota use para orinar. Cambie a diario la zona utilizada por su mascota y rellene con nuevo producto.</p>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/lecho-de-maiz1.png
651@1@Paja@ROEDORES|Lechos sanitarios@@0@@Por su alto contenido en fibra es el alimento adecuado para complementar la dieta de pequeños animales de compañía como conejos, cobayas, chinchillas, hamsters y ardillas.<br /><br />* <strong>La fibra favorece la función intestinal</strong>, contribuye a una mejor digestión, actúa como antioxidante y es un potenciador del sistema inmunológico. <strong>Indicada para prevenir la descomposición. </strong><br /><br />* Es le complemento adecuado para la dieta de su mascota. Es el tipo de forraje ideal para la utilización como lecho para su mascota, ya que le ayuda a <strong>mantener el calor en épocas más frías</strong>, y le aporta una suavidad y comodidad que no aportan otros tipos de camas.<br /><br />La paja Ribero es un forraje 100% natural, secado al sol. Ribero produce, recolecta, almacena y presenta la paja de cebada con los cuidados adecuados para obtener un producto de alta calidad, conservando así al máximo todas sus propiedades, su textura y todo su sabor.<br /><br />Es el tipo de forraje ideal para la utilización como lecho para su mascota, ya que le ayuda a mantener el calor en épocas mas frías, y le aporta una suavidad y comodidad que no aportan otros tipos de lechos.<br /><br />MODO DE EMPLEO: Administrar cada día como alimento complementario principal. Si su intención es usar la paja como alimento, debe colocarla en un comedero para que se conserve limpia y fresca. No olvide dejar siempre agua fresca y limpia a disposición de su mascota. Si desea usar la paja como lecho, puede administrar a discreción la cantidad suficiente para proporcionarle un mayor confort y calor, su mascota agradecerá que le proporciones un hábitat ideal.<br /><div class=clear></div><br /><!-- .entry-content --> <!-- #post --> <!-- #content --> <!-- #primary --><br /><div class=clear></div>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/paja.png
653@1@Roeditos para Conejos@ROEDORES|Barritas y snacks@6@0@@Roeditos son unas cajitas con distintos tipos de snacks ideal para regalar a nuestras mascotas. Hay cinco Roeditos distintos, uno pensado para cada mascota: Conejos, Cobayas, Chinchillas, Hamsters y Ardillas.  Contienen snacks adecuados para cada una de las mascotas, y lo más importante es que son snacks naturales y de gran aporte nutricional para su salud. El formato está pensado para la correcta conservación de los distintos snacks ya que van envasados de forma individual dentro de la cajita.  A parte de ofrecer en un mismo envase 9 variedades de snacks, también es el formato ideal para probar distintos productos y posteriormente decidir cual le gusta más a tu mascota como capricho.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS-CONEJOS2.png|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS2-CONEJOS-format-web.png
664@1@Roeditos para Cobayas@ROEDORES|Barritas y snacks@6@0@@Roeditos son unas cajitas con distintos tipos de snacks ideal para regalar a nuestras mascotas. Hay cinco Roeditos distintos, uno pensado para cada mascota: Conejos, Cobayas, Chinchillas, Hamsters y Ardillas. Contienen snacks adecuados para cada una de las mascotas, y lo más importante es que son snacks naturales y de gran aporte nutricional para su salud. El formato está pensado para la correcta conservación de los distintos snacks ya que van envasados de forma individual dentro de la cajita.  A parte de ofrecer en un mismo envase 9 variedades de snacks, también es el formato ideal para probar distintos productos y posteriormente decidir cual le gusta más a tu mascota como capricho.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS-COBAYAS2.png|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS2-COBAYAS-format-web.png
665@1@Roeditos para Chinchillas@ROEDORES|Barritas y snacks@6@0@@Roeditos son unas cajitas con distintos tipos de snacks ideal para regalar a nuestras mascotas. Hay cinco Roeditos distintos, uno pensado para cada mascota: Conejos, Cobayas, Chinchillas, Hamsters y Ardillas. Contienen snacks adecuados para cada una de las mascotas, y lo más importante es que son snacks naturales y de gran aporte nutricional para su salud. El formato está pensado para la correcta conservación de los distintos snacks ya que van envasados de forma individual dentro de la cajita.  A parte de ofrecer en un mismo envase 9 variedades de snacks, también es el formato ideal para probar distintos productos y posteriormente decidir cual le gusta más a tu mascota como capricho.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS-CHINCHILLAS2.png|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS2-CHINCHILLAS-format-web.png
666@1@Roeditos para Hamsters@ROEDORES|Barritas y snacks@6@0@@Roeditos son unas cajitas con distintos tipos de snacks ideal para regalar a nuestras mascotas. Hay cinco Roeditos distintos, uno pensado para cada mascota: Conejos, Cobayas, Chinchillas, Hamsters y Ardillas. Contienen snacks adecuados para cada una de las mascotas, y lo más importante es que son snacks naturales y de gran aporte nutricional para su salud. El formato está pensado para la correcta conservación de los distintos snacks ya que van envasados de forma individual dentro de la cajita.  A parte de ofrecer en un mismo envase 9 variedades de snacks, también es el formato ideal para probar distintos productos y posteriormente decidir cual le gusta más a tu mascota como capricho.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS-HAMSTERS2.png|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS2-HAMSTERS-format-web.png
667@1@Roeditos para Ardillas@ROEDORES|Barritas y snacks@6@0@@Roeditos son unas cajitas con distintos tipos de snacks ideal para regalar a nuestras mascotas. Hay cinco Roeditos distintos, uno pensado para cada mascota: Conejos, Cobayas, Chinchillas, Hamsters y Ardillas. Contienen snacks adecuados para cada una de las mascotas, y lo más importante es que son snacks naturales y de gran aporte nutricional para su salud. El formato está pensado para la correcta conservación de los distintos snacks ya que van envasados de forma individual dentro de la cajita.  A parte de ofrecer en un mismo envase 9 variedades de snacks, también es el formato ideal para probar distintos productos y posteriormente decidir cual le gusta más a tu mascota como capricho.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS-ARDILLAS2.png|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/ROEDITOS2-ARDILLA-format-web.png
668@1@Green nature natural para Conejos@ROEDORES|Piensos y semillas@5.85@0@@Los alimentos concentrados han de darse en pequeñas cantidades a nuestras mascotas, aunque todo depende de la composición del alimento. El equipo de nutricionistas y agrónomos de Ribero hemos formulado una <strong>ALIMENTACIÓN COMPLETA Y EQUILIBRADA</strong> a la que llamamos Green Nature, elaborada con <strong>productos de nuestras tierras</strong> de <strong>gran calidad</strong>, y 1<strong>00% natural</strong>, <strong>sin colorantes ni conservantes</strong>, y con las cantidades necesarias para una <strong>sana alimentación</strong> de nuestra mascota. Con esta mezcla hemos conseguido la analítica que te puede llegar a aportar un producto extrusionado o granulado pero únicamente utilizando productos naturales. Para ello hemos puesto nuestros componentes en proporciones muy diversas para llegar a las cantidades necesarias de proteína, fibra y grasa. Green Nature para Conejos y Conejos Enanos está compuesta por un:<br /><br /><img class=wp-image-2935 alignnone title= src=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-BOLETES-ALIMENTACIO.png alt= width=547 height=195 /><br /><br />Con ello ofrecemos la <strong>dieta ideal</strong> para conejos y conejos enanos, ya que es <strong>pobre en energía y alta en fibra</strong>.<br /><h2>Las novedades de esta mezcla:</h2><br />* Esta compuesta por <strong>heno secado al sol de gran calidad</strong> cultivado por Ribero.<br /><br />* Contiene las proporciones adecuadas y necesarias de cada uno de los productos básicos de la <strong>pirámide de la alimentación de los conejos</strong>.<br /><br />* Esta mezcla cubre de forma natural las necesidades de su mascota con el <strong>mínimo contenido en grasa</strong>.<br /><br />* <strong>NO</strong> CONTIENE ORGANISMOS MODIFICADOS GENÉTICAMENTE.<br /><br />* Ayuda de forma natural al <strong>desgaste de los dientes</strong>.<br /><br />* Su gran aporte en <strong>fibra natural</strong> beneficia a su sistema digestivo, previene enfermedades como bolas de pelo en el estómago, diarrea o obesidad, y ayuda al correcto crecimiento de los dientes.<br /><br /><a href=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-MINIMO-CONTENIDO-EN-GRASA.png><img class=aligncenter size-large wp-image-3977 title=GREEN NATURE - MINIMO CONTENIDO EN GRASA src=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-MINIMO-CONTENIDO-EN-GRASA-1024x96.png alt= width=584 height=54 /></a><br /><br />Con esta mezcla les proporcionamos una dieta sana, natural y equilibrada con todos los componentes imprescindibles de la pirámide nutricional  de su mascota.<br /><br /><span style=line-height: 1.5; font-family: 'Source Sans Pro', Helvetica, sans-serif; font-size: 16px;>                                                                                                                      </span>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/green-nature-natural-conejos.png
672@1@Green nature granulado para Conejos@ROEDORES|Piensos y semillas@@0@@Los alimentos concentrados han de darse en pequeñas cantidades a nuestras mascotas, aunque todo depende de la composición del alimento. El equipo de nutricionistas y agrónomos de Ribero hemos formulado una <strong>ALIMENTACIÓN COMPLETA Y EQUILIBRADA</strong> a la que llamamos Green Nature, elaborada con <strong>productos de nuestras tierras</strong> de <strong>gran calidad</strong>, y 1<strong>00% natural</strong>, <strong>sin colorantes ni conservantes</strong>, y con las cantidades necesarias para una <strong>sana alimentación</strong> de nuestra mascota. Con esta mezcla hemos conseguido la analítica que te puede llegar a aportar un producto extrusionado o granulado pero únicamente utilizando productos naturales. Para ello hemos puesto nuestros componentes en proporciones muy diversas para llegar a las cantidades necesarias de proteína, fibra y grasa. Green Nature para Conejos y Conejos Enanos está compuesta por un:<br /><br /><img class=wp-image-2935 alignnone title= src=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-BOLETES-ALIMENTACIO.png alt= width=547 height=195 /><br /><br />Con ello ofrecemos la <strong>dieta ideal</strong> para conejos y conejos enanos, ya que es <strong>pobre en energía y alta en fibra</strong>.<br /><h2>Las novedades de esta mezcla:</h2><br />* Esta compuesta por <strong>heno secado al sol de gran calidad</strong> cultivado por Ribero.<br /><br />* Contiene las proporciones adecuadas y necesarias de cada uno de los productos básicos de la <strong>pirámide de la alimentación de los conejos</strong>.<br /><br />* Esta mezcla cubre de forma natural las necesidades de su mascota con el <strong>mínimo contenido en grasa</strong>.<br /><br />* <strong>NO</strong> CONTIENE ORGANISMOS MODIFICADOS GENÉTICAMENTE.<br /><br />* Ayuda de forma natural al <strong>desgaste de los dientes</strong>.<br /><br />* Su gran aporte en <strong>fibra natural</strong> beneficia a su sistema digestivo, previene enfermedades como bolas de pelo en el estómago, diarrea o obesidad, y ayuda al correcto crecimiento de los dientes.<br /><br /><a href=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-MINIMO-CONTENIDO-EN-GRASA.png><img class=aligncenter size-large wp-image-3977 title=GREEN NATURE - MINIMO CONTENIDO EN GRASA src=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/GREEN-NATURE-MINIMO-CONTENIDO-EN-GRASA-1024x96.png alt= width=584 height=54 /></a><br /><br />Con esta mezcla les proporcionamos una dieta sana, natural y equilibrada con todos los componentes imprescindibles de la pirámide nutricional de su mascota. <span style=line-height: 1.5; font-family: 'Source Sans Pro', Helvetica, sans-serif; font-size: 16px;>                                                                             </span><br /><br /><span style=line-height: 1.5; font-family: 'Source Sans Pro', Helvetica, sans-serif; font-size: 16px;>                                                       </span><span style=line-height: 1.5; font-family: 'Source Sans Pro', Helvetica, sans-serif; font-size: 16px;>  </span>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/green-nature-granulado-de-conejo.png
673@1@Green nature para Hamsters@ROEDORES|Piensos y semillas@@0@@Los alimentos concentrados han de darse en pequeñas cantidades a nuestras mascotas, aunque todo depende de la composición del alimento.<br /><br />El equipo de nutricionistas y agrónomos de Ribero hemos formulado una ALIMENTACIÓN COMPLETA Y EQUILIBRADA a la que llamamos Green Nature, elaborada con productos de nuestras tierras de gran calidad, y 100% natural, sin colorantes ni conservantes, y con las cantidades necesarias para una sana alimentación de nuestra mascota.<br /><br />Con esta mezcla hemos conseguido la analítica que te puede llegar a aportar un producto extursionado o granulado pero únicamente utilizando productos naturales. Para ello hemos puesto nuestros componentes en proporciones muy diversas para llegar a las cantidades necesarias de proteína, fibra y grasa.<br /><br />Green Nature para Hamsters está compuesta por un:<br /><br /><img src=http://www.riberosat.es/wp-content/uploads/2014/04/BOLES-ALIMENTACIO-HAMSTER.png alt= width=684 height=343 /><br /><br />Con ello ofrecemos la dieta ideal para hamsters, ya que está compuesta por más de 20 productos distintos, que les aportará una gran diversión a la vez que se están alimentando de forma sana y equilibrada.<br /><h2>Las novedades de esta mezcla:</h2><br />* Contiene las proporciones adecuadas y necesarias de cada uno de los productos básicos de la pirámide de la alimentación de los hamsters.<br /><br />* Esta mezcla cubre de forma natural las necesidades de su mascota.<br /><br />* NO CONTIENE ORGANISMOS MODIFICADOS GENÉTICAMENTE.<br /><br />* Ayuda de forma natural al desgaste de los dientes.<br /><br />* Evita la monotonía por su composición con más de 20 productos diferentes.<br /><br />* Todos los productos que componen la mezcla son productos seleccionados de primera calidad.<br /><br />LA DIETA IDEAL PARA EVITAR LA MONOTONÍA EN LA ALIMENTACIÓN DE TU MASCOTA<br /><br />Con esta mezcla les proporcionamos una dieta sana, natural y equilibrada con todos los componentes imprescindibles de la pirámide nutricional de su mascota.<br /><br /><!-- .entry-content --> <!-- #post --> <!-- #content --> <!-- #primary --><br /><div class=clear></div>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/green-nature-natural-hamster.png
675@1@Green nature natural para Cobayas@ROEDORES|Piensos y semillas@5.85@0@@Los alimentos concentrados han de darse en pequeñas cantidades a nuestras mascotas, aunque todo depende de la composición del alimento.<br /><br />El equipo de nutricionistas y agrónomos de Ribero hemos formulado una <strong>ALIMENTACIÓN COMPLETA Y EQUILIBRADA</strong> a la que llamamos Green Nature, elaborada con productos de nuestras tierras de gran calidad, y 100% natural, sin colorantes ni conservantes, y con las cantidades necesarias para una sana alimentación de nuestra mascota.<br /><br />Con esta mezcla hemos conseguido la analítica que te puede llegar a aportar un producto extrusionado o granulado pero únicamente utilizando productos naturales. Para ello hemos puesto nuestros componentes en proporciones muy diversas para llegar a las cantidades necesarias de proteína, fibra y grasa.<br /><br />Green Nature para Cobayas está compuesta por:<br /><br /><img class=aligncenter  wp-image-3204 title= src=http://www.riberosat.es/admin2/wp-content/uploads/2012/08/BOLES-ALIMENTACIO-COBAYA1.png alt= width=713 height=271 /><br /><p align=center>Con ello ofrecemos la dieta ideal para cobayas, ya que es pobre en energía y muy alta en fibra.</p><br /><br /><h2><strong>Las novedades de esta mezcla:</strong></h2><br />* Esta compuesta por heno secado al sol de gran calidad cultivado por Ribero.<br /><br />* Contiene las proporciones adecuadas y necesarias de cada uno de los productos básicos de la pirámide de la alimentación de las cobayas.<br /><br />* Esta mezcla cubre de forma natural las necesidades de su mascota con el mínimo contenido en grasa.<br /><br />* <strong>NO</strong> CONTIENE ORGANISMOS MODIFICADOS GENÉTICAMENTE.<br /><br />* Ayuda de forma natural al desgaste de los dientes.<br /><br />* Su gran aporte en fibra natural beneficia a su sistema digestivo, previene enfermedades como bolas de pelo en el estómago, diarrea o obesidad, y ayuda al correcto crecimiento de los dientes.<br /><br />Con esta mezcla les proporcionamos una dieta sana, natural y equilibrada con todos los componentes imprescindibles de la pirámide nutricional de su mascota.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/green-nature-natural-cobaya.png
680@1@Jaula Conejo/Cobaya 80cm Negra plegable@ROEDORES|Jaulas@40@0@@Voltrega es un líder indiscutible del sector del animal de compañia. Lo que empezó como una pequeña empresa familiar es ahora una de las empresas europeas lider como fabricante de jaulas y habitaculos pájaros, roedores y demas animales de compañia exportando a una gran variedad de paises y teniendo en la actualidad, quizás, el mas amplio de los catalogos actuales de jaulas.<br /><br />Para Voltrega, el futuro es la oportunidad de diferenciarse, ser competitivos y crecer.<br /><br />- Garantizan la calidad con su sistema de trazabilidad. Revolucionan la logistica de sus almacenes y la producción con recientes cambios tecnologicos.<br /><br />- La innovación en su empresa les permite desmarcarse de la competencia.<br /><br />- Voltrega pone al alcance de todos sus clientes su ultimos modelos, su innovación para así poder compartir con ellos el éxito.<br /><br />CARACTERÍSTICAS de la Jaula Conejo 520:<br /><br />- Color: Negra.<br /><br /><strong>- </strong>Medidas jaula: 80 x 46 x 35 cm<br /><br />- Pintura apoxi sin plomo.<br /><br />- Accesorios plástico polipropileno.<br /><br />- Apta para conejos, también cobayas.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/02/520N.jpg
